"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[hopelezsly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.001406848430633545,0.0061699748039245605,0,0,0,403,"Failed"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rumlr]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.002852022647857666,0.6769920587539673,0,1,0,521,"Successful"
"bennett 's naturalistic [[performance]] speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic [[peformance]] speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.022280454635620117,0.9987225532531738,1,0,1,604,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[comfused]] when it came time to get to the heart of the movie . ",0.010919630527496338,0.8958923816680908,0,1,0,415,"Successful"
"anchored by friel and williams 's exceptional [[performances]] , the film 's power lies in its complexity . ","anchored by friel and williams 's exceptional [[perormances]] , the film 's power lies in its complexity . ",0.0010082125663757324,0.005331695079803467,1,1,1,357,"Failed"
"a woman 's pic directed with [[resonance]] by ilya chaiken . ","a woman 's pic directed with [[resoance]] by ilya chaiken . ",0.017397046089172363,0.99915611743927,1,0,1,176,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[bset]] film about baseball to hit theaters since field of dreams . ",0.001034855842590332,0.9994484186172485,1,0,1,200,"Successful"
"too [[restrained]] to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ","too [[restrauned]] to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0.0014142990112304688,0.0014679431915283203,0,0,0,530,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[dmb]] , but more importantly , it 's just not scary . ",0.0014120936393737793,0.02680760622024536,0,0,0,99,"Failed"
"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently [[uselwss]] movies , and it might as well be the resuscitation of the middle-aged character . ",0.0014066100120544434,0.00497889518737793,0,0,0,505,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.9955944418907166,0.9955944418907166,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refrewhingly]] literary . ",0.001010596752166748,0.999420166015625,1,0,1,340,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and [[phre]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.0011216998100280762,0.6466811895370483,1,0,1,215,"Successful"
"an entertaining , colorful , [[action-filled]] crime story with an intimate heart . ","an entertaining , colorful , [[actiob-filled]] crime story with an intimate heart . ",0.000989675521850586,0.0010445117950439453,1,1,1,310,"Failed"
"due to some [[script]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some [[sript]] weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",0.050576210021972656,0.5988718271255493,0,1,0,383,"Successful"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[noting]] fresh or particularly interesting to say about them . ",0.0014087557792663574,0.0019152164459228516,0,0,0,410,"Failed"
