"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[single]] unbroken 87-minute take . ","the most [[highly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a [[live]] unbroken 87-minute take . ",0.0010308027267456055,0.011810660362243652,0,0,0,52,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not [[even]] ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[holds]] itself to be a sudsy tub of supernatural hokum , not [[sometimes]] ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0013249516487121582,0.01154470443725586,0,0,0,95,"Failed"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' [[show]] , and anybody [[contemplating]] their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[had]] volumes more truth than any ` reality ' [[shows]] , and anybody [[considering]] their own drastic life changes should watch some body first . ",0.0008171200752258301,0.29772496223449707,1,1,1,49,"Failed"
"by [[getting]] myself wrapped up in the visuals and eccentricities of many of the characters , i [[found]] myself confused when it came time to get to the heart of the movie . ","by [[taking]] myself wrapped up in the visuals and eccentricities of many of the characters , i [[held]] myself confused when it came time to get to the heart of the movie . ",0.1401282548904419,0.7321070432662964,0,1,0,91,"Successful"
"anchored by friel and williams 's exceptional performances , the film 's power [[lies]] in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's power [[lacks]] in its complexity . ",0.0007852315902709961,0.9994231462478638,1,0,1,63,"Successful"
"a woman 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a woman 's pic directed with [[supervision]] by [[andrew]] chaiken . ",0.0008725523948669434,0.9765755534172058,1,0,1,103,"Successful"
"the best [[film]] about [[baseball]] to [[hit]] [[theaters]] [[since]] [[field]] of dreams . ","the best [[fiction]] about [[jesus]] to [[fill]] [[shelves]] [[for]] [[theatre]] of dreams . ",0.0008063912391662598,0.962680459022522,1,0,1,225,"Successful"
"too restrained to be a freak [[show]] , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak [[y]] , too mercenary and obvious to be cerebral , too [[imaginative]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.0013451576232910156,0.15189385414123535,0,0,0,66,"Failed"
"it 's [[dumb]] , but more importantly , it 's just not scary . ","it 's [[beautiful]] , but more importantly , it 's just not scary . ",0.0009781122207641602,0.059256792068481445,0,0,0,69,"Failed"
"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it might as [[well]] be the resuscitation of the middle-aged character . ","schaeffer has to [[be]] some hook on which to hang his persistently useless movies , and it might as [[possibly]] be the resuscitation of the middle-aged character . ",0.0009773969650268555,0.0010423660278320312,0,0,0,98,"Failed"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks [[even]] better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks [[so]] better . ",0.03590214252471924,0.58171546459198,1,0,1,55,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[terribly]] literary . ",0.0008150935173034668,0.998833179473877,1,0,1,45,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and [[bare]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.05203324556350708,0.851123571395874,1,0,1,25,"Successful"
"an [[entertaining]] , colorful , [[action-filled]] [[crime]] [[story]] with an [[intimate]] heart . ","an [[embarrassing]] , colorful , [[bad]] [[sex]] [[encounter]] with an [[exposed]] heart . ",0.0008180737495422363,0.9936559796333313,1,0,1,212,"Successful"
"due to some script weaknesses and the casting of the [[director]] 's brother , the film trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[filmmaker]] 's brother , the film trails off into inconsequentiality . ",0.0011138319969177246,0.001171410083770752,0,0,0,29,"Failed"
"works hard to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ","works hard to establish rounded characters , but then has [[nothin]] fresh or particularly interesting to say about them . ",0.0010979175567626953,0.017338693141937256,0,0,0,21,"Failed"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[bizarre]] moviegoing [[idiots]] of the year . ",0.0008088946342468262,0.99981689453125,1,0,1,110,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[hasn]] its moments of pathos . ",0.0007840394973754883,0.0008444786071777344,1,1,1,37,"Failed"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[thinks]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",0.00818568468093872,0.9232829809188843,1,0,1,65,"Successful"
"one of those energetic surprises , an original that [[pleases]] almost everyone who sees it . ","one of those energetic surprises , an original that [[fooled]] almost everyone who sees it . ",0.0008044838905334473,0.9970496296882629,1,0,1,65,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're [[going]] from one room to the next and [[none]] of them have any relation to the other . ","this is wild surreal stuff , but [[everything]] and the camera just kind of sits there and [[has]] you look at this and its like you 're [[coming]] from one room to the next and [[nobody]] of them have any relation to the other . ",0.001332998275756836,0.8516262173652649,1,0,1,54,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[reunion]] with your ex-wife . ",0.07087892293930054,0.9997150301933289,0,1,0,55,"Successful"
"a [[rewarding]] work of [[art]] for only the most patient and challenge-hungry moviegoers . ","a [[convenient]] work of [[propaganda]] for only the most patient and challenge-hungry moviegoers . ",0.0008097290992736816,0.9996753931045532,1,0,1,111,"Successful"
"a [[good]] piece of work more often than not . ","a [[lost]] piece of work more often than not . ",0.0008001923561096191,0.9781491756439209,1,0,1,55,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish comedy from disney . ","a [[total]] [[waste]] of pastel colors and prankish comedy from disney . ",0.0007954239845275879,0.9998261332511902,1,0,1,111,"Successful"
"it 's [[one]] [[heck]] of a character study -- not of hearst or davies but of the unique [[relationship]] between them . ","it 's [[1]] [[hell]] of a character study -- not of hearst or davies but of the unique [[kinship]] between them . ",0.0018905401229858398,0.6656743288040161,1,0,1,32,"Successful"
"puts a [[human]] face on a land most westerners are unfamiliar with . ","puts a [[bad]] face on a land most westerners are unfamiliar with . ",0.0009264945983886719,0.9997233152389526,1,0,1,54,"Successful"
"montias ... pumps a [[lot]] of energy into his [[nicely]] nuanced narrative and surrounds himself with a cast of [[quirky]] -- but not stereotyped -- street characters . ","montias ... pumps a [[ton]] of energy into his [[densely]] nuanced narrative and surrounds himself with a cast of [[absurd]] -- but not stereotyped -- street characters . ",0.0008133053779602051,0.013525187969207764,1,1,1,72,"Failed"
"atom egoyan has conjured up a multilayered work that tackles any [[number]] of fascinating issues ","atom egoyan has conjured up a multilayered work that tackles any [[myriad]] of fascinating issues ",0.0007964968681335449,0.0008005499839782715,1,1,1,52,"Failed"
"a compelling spanish [[film]] about the withering effects of jealousy in the [[life]] of a young monarch whose sexual passion for her husband [[becomes]] an obsession . ","a compelling spanish [[movie]] about the withering effects of jealousy in the [[case]] of a young monarch whose sexual passion for her husband [[leaves]] an obsession . ",0.0008161664009094238,0.001092672348022461,1,1,1,105,"Failed"
"at the very least , if you do [[n't]] know anything about derrida when you walk into the theater , you [[wo]] n't know [[much]] more when you leave . ","at the very least , if you do [[honestly]] know anything about derrida when you walk into the theater , you [[best]] n't know [[only]] more when you leave . ",0.0015565752983093262,0.550661563873291,0,1,0,69,"Successful"
"do n't be fooled by the impressive cast list - eye see you is [[pure]] junk . ","do n't be fooled by the impressive cast list - eye see you is [[good]] junk . ",0.03104454278945923,0.9909330606460571,0,1,0,25,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[earned]] weight ! ",0.003381490707397461,0.5319439768791199,0,1,0,37,"Successful"
"director andrew niccol ... [[demonstrates]] a wry understanding of the quirks of fame . ","director andrew niccol ... [[requires]] a wry understanding of the quirks of fame . ",0.0008537769317626953,0.715544581413269,1,0,1,58,"Successful"
"... takes the beauty of baseball and [[melds]] it with a story that could touch [[anyone]] regardless of their familiarity with the sport ","... takes the beauty of baseball and [[brings]] it with a story that could touch [[anything]] regardless of their familiarity with the sport ",0.0007810592651367188,0.0008209347724914551,1,1,1,46,"Failed"
"there [[ought]] to be a directing license , so that ed burns can have his revoked . ","there [[gets]] to be a directing license , so that ed burns can have his revoked . ",0.0012035369873046875,0.03804957866668701,0,0,0,39,"Failed"
"there is no [[pleasure]] in watching a child suffer . ","there is no [[pain]] in watching a child suffer . ",0.0024846792221069336,0.9954245090484619,0,1,0,57,"Successful"
"at a [[time]] when half the so-called real movies are [[little]] more than live-action [[cartoons]] , it 's refreshing to [[see]] a cartoon that [[knows]] what it is , and knows the form 's history . ","at a [[epoch]] when half the so-called real movies are [[basically]] more than live-action [[cartoon]] , it 's refreshing to [[watch]] a cartoon that [[knew]] what it is , and knows the form 's history . ",0.0007918477058410645,0.005865633487701416,1,1,1,145,"Failed"
"there are simply too [[many]] ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[failing]] to exploit them . ","there are simply too [[great]] ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[nothing]] to exploit them . ",0.0009783506393432617,0.7799516916275024,0,1,0,82,"Successful"
"( a ) shapeless [[blob]] of [[desperate]] entertainment . ","( a ) shapeless [[tales]] of [[awesome]] entertainment . ",0.0009596943855285645,0.6937462091445923,0,1,0,85,"Successful"
"( grant 's ) bumbling magic [[takes]] over the film , and it turns out to be another winning star vehicle . ","( grant 's ) bumbling magic [[plays]] over the film , and it turns out to be another winning star vehicle . ",0.000767827033996582,0.0008719563484191895,1,1,1,29,"Failed"
"for the most part [[stevens]] [[glides]] through on some solid [[performances]] and [[witty]] dialogue . ","for the most part [[brown]] [[stumbled]] through on some solid [[stories]] and [[poor]] dialogue . ",0.0007954239845275879,0.9997686147689819,1,0,1,193,"Successful"
"as [[vulgar]] as it is banal . ","as [[tall]] as it is banal . ",0.0009690523147583008,0.07430678606033325,0,0,0,12,"Failed"
"if you can stomach the [[rough]] content , it 's worth checking out for the performances alone . ","if you can stomach the [[real]] content , it 's worth checking out for the performances alone . ",0.0007808208465576172,0.000784754753112793,1,1,1,24,"Failed"
