"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single [[unbroken]] 87-minute take . ","the most [[famously]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single [[whole]] 87-minute take . ",0.0024715065956115723,0.04715067148208618,0,0,0,37,"Failed"
"as a rumor of angels [[reveals]] itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a rumor of angels [[proven]] itself to be a sudsy tub of supernatural hokum , not even [[ill]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0028120875358581543,0.23704570531845093,0,0,0,88,"Failed"
"bennett 's naturalistic performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks [[only]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.002387523651123047,0.8247023224830627,1,0,1,49,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8501540422439575,0.8501540422439575,1,1,0,1,"Skipped"
"anchored by friel and williams 's exceptional performances , the film 's [[power]] lies in its complexity . ","anchored by friel and williams 's exceptional performances , the film 's [[point]] lies in its complexity . ",0.0014426112174987793,0.0014832615852355957,1,1,1,24,"Failed"
"a [[woman]] 's pic directed with [[resonance]] by ilya chaiken . ","a [[mcdonald]] 's pic directed with [[foreword]] by ilya chaiken . ",0.0014839768409729004,0.8691645860671997,1,0,1,102,"Successful"
"the [[best]] film about [[baseball]] to hit theaters since field of dreams . ","the [[worst]] film about [[torture]] to hit theaters since field of dreams . ",0.0014333128929138184,0.9989791512489319,1,0,1,86,"Successful"
"too restrained to be a freak show , too mercenary and [[obvious]] to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an easy categorization . ","too restrained to be a freak show , too mercenary and [[desperate]] to be cerebral , too [[outrageous]] and pretentious to be engaging ... the isle defies an easy categorization . ",0.0022712349891662598,0.017626285552978516,0,0,0,58,"Failed"
"it 's [[dumb]] , but more [[importantly]] , it 's just not scary . ","it 's [[good]] , but more [[honestly]] , it 's just not scary . ",0.0023173093795776367,0.01171797513961792,0,0,0,66,"Failed"
"schaeffer has to find some hook on which to hang his [[persistently]] useless movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his [[supposedly]] useless movies , and it [[may]] as well be the resuscitation of the middle-aged character . ",0.0022968649864196777,0.0023870468139648438,0,0,0,63,"Failed"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[love]] in 1994 , except that it looks even better . ",0.33331406116485596,0.5177114605903625,1,0,1,24,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[terribly]] literary . ",0.0014717578887939453,0.9989839792251587,1,0,1,45,"Successful"
"so unassuming and pure of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and pure of heart , you ca n't help but [[please]] extend your arms and yell ` safe ! ' ",0.03968936204910278,0.1249353289604187,1,1,1,25,"Failed"
"an [[entertaining]] , [[colorful]] , action-filled crime [[story]] with an [[intimate]] heart . ","an [[awful]] , [[bizarre]] , action-filled crime [[connected]] with an [[unbelievable]] heart . ",0.0014127492904663086,0.6467700004577637,1,0,1,180,"Successful"
"due to some script weaknesses and the casting of the [[director]] 's brother , the [[film]] trails off into inconsequentiality . ","due to some script weaknesses and the casting of the [[filmmaker]] 's brother , the [[movie]] trails off into inconsequentiality . ",0.002344965934753418,0.0023903846740722656,0,0,0,22,"Failed"
"works [[hard]] to establish rounded characters , but then has nothing fresh or particularly [[interesting]] to say about them . ","works [[well]] to establish rounded characters , but then has nothing fresh or particularly [[entertaining]] to say about them . ",0.002328932285308838,0.003464341163635254,0,0,0,43,"Failed"
"one of the most significant moviegoing [[pleasures]] of the year . ","one of the most significant moviegoing [[deaths]] of the year . ",0.0014001727104187012,0.99727863073349,1,0,1,61,"Successful"
"the son 's room is a triumph of gentility that [[earns]] its moments of pathos . ","the son 's room is a triumph of gentility that [[hasn]] its moments of pathos . ",0.0014945268630981445,0.0015242695808410645,1,1,1,37,"Failed"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[making]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",0.0016181468963623047,0.5613945722579956,1,0,1,65,"Successful"
"one of those [[energetic]] surprises , an original that pleases almost [[everyone]] who sees it . ","one of those [[expensive]] surprises , an original that pleases almost [[none]] who sees it . ",0.0014537572860717773,0.9486769437789917,1,0,1,83,"Successful"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[making]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.07704323530197144,0.5324791669845581,1,0,1,49,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[reunion]] with your ex-wife . ",0.002423584461212158,0.9966588020324707,0,1,0,55,"Successful"
"a [[rewarding]] work of art for only the most [[patient]] and challenge-hungry moviegoers . ","a [[typical]] work of art for only the most [[expensive]] and challenge-hungry moviegoers . ",0.001662135124206543,0.6643637418746948,1,0,1,112,"Successful"
"a [[good]] piece of [[work]] more often than not . ","a [[worthless]] piece of [[shit]] more often than not . ",0.00156480073928833,0.9989877343177795,1,0,1,97,"Successful"
"a [[beguiling]] splash of pastel colors and prankish [[comedy]] from disney . ","a [[quick]] splash of pastel colors and prankish [[sounds]] from disney . ",0.0016734004020690918,0.9562481045722961,1,0,1,111,"Successful"
