"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[irretrievably]] [[ghoulish]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.001406848430633545,0.6292487382888794,0,1,0,67,"Successful"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[whispers]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.002852022647857666,0.7090893387794495,0,1,0,43,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[parle]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.022280454635620117,0.9981988072395325,1,0,1,75,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[puzzled]] when it came time to get to the heart of the movie . ",0.010919630527496338,0.7178105115890503,0,1,0,59,"Successful"
"anchored by friel and williams 's [[exceptional]] performances , the film 's power lies in its [[complexity]] . ","anchored by friel and williams 's [[unpaid]] performances , the film 's power lies in its [[complicating]] . ",0.0010082125663757324,0.5456986427307129,1,0,1,76,"Successful"
"a [[woman]] 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a [[missus]] 's pic directed with [[resonant]] by [[ilia]] chaiken . ",0.017397046089172363,0.9969531893730164,1,0,1,50,"Successful"
"the [[best]] film about baseball to hit theaters since field of dreams . ","the [[dignified]] film about baseball to hit theaters since field of dreams . ",0.001034855842590332,0.976514995098114,1,0,1,49,"Successful"
"too [[restrained]] to be a [[freak]] [[show]] , too mercenary and [[obvious]] to be [[cerebral]] , too [[dull]] and [[pretentious]] to [[be]] [[engaging]] ... the isle defies an easy categorization . ","too [[impeded]] to be a [[mad]] [[reveals]] , too mercenary and [[unmistakable]] to be [[neural]] , too [[infuriating]] and [[mindless]] to [[become]] [[joins]] ... the isle defies an easy categorization . ",0.0014142990112304688,0.555439829826355,0,1,0,307,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[silent]] , but more importantly , it 's just not [[afraid]] . ",0.0014120936393737793,0.9721679091453552,0,1,0,56,"Successful"
"[[schaeffer]] has to find some hook on which to hang his [[persistently]] [[useless]] movies , and it [[might]] as well [[be]] the resuscitation of the middle-aged character . ","[[colson]] has to find some hook on which to hang his [[strenuously]] [[frivolous]] movies , and it [[risk]] as well [[represented]] the resuscitation of the middle-aged character . ",0.0014066100120544434,0.5903375148773193,0,1,0,134,"Successful"
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.9955944418907166,0.9955944418907166,0,0,1,1,"Skipped"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[blithely]] literary . ",0.001010596752166748,0.9992687106132507,1,0,1,58,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but [[warmly]] extend your arms and yell ` safe ! ' ","so unassuming and [[pur]] of heart , you ca n't help but [[hearty]] extend your arms and yell ` safe ! ' ",0.0011216998100280762,0.9856308698654175,1,0,1,38,"Successful"
"an entertaining , [[colorful]] , action-filled crime story with an [[intimate]] heart . ","an entertaining , [[stained]] , action-filled crime story with an [[squeamish]] heart . ",0.000989675521850586,0.9784128069877625,1,0,1,40,"Successful"
"due to some script [[weaknesses]] and the casting of the director 's brother , the film trails off into inconsequentiality . ","due to some script [[frailties]] and the casting of the director 's brother , the film trails off into inconsequentiality . ",0.050576210021972656,0.6141793131828308,0,1,0,67,"Successful"
"works [[hard]] to establish rounded [[characters]] , but then [[has]] nothing fresh or [[particularly]] interesting to [[say]] about them . ","works [[intensely]] to establish rounded [[featuring]] , but then [[is]] nothing fresh or [[uniquely]] interesting to [[affirmed]] about them . ",0.0014087557792663574,0.5925779342651367,0,1,0,157,"Successful"
"one of the most [[significant]] moviegoing [[pleasures]] of the year . ","one of the most [[prodigious]] moviegoing [[merriment]] of the year . ",0.0009936690330505371,0.9994676113128662,1,0,1,102,"Successful"
"the [[son]] 's room is a [[triumph]] of gentility that earns its moments of [[pathos]] . ","the [[wires]] 's room is a [[victory]] of gentility that earns its moments of [[melodrama]] . ",0.0011336803436279297,0.6321195363998413,1,0,1,60,"Successful"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[is]] up for in compassion , as corcuera [[runs]] to find the seeds of hope in the form of collective action . ",0.020608365535736084,0.7903938293457031,1,0,1,101,"Successful"
"one of those [[energetic]] [[surprises]] , an [[original]] that [[pleases]] almost everyone who [[sees]] it . ","one of those [[fort]] [[horrified]] , an [[preliminary]] that [[seduces]] almost everyone who [[wait]] it . ",0.0009897947311401367,0.9994575381278992,1,0,1,156,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[terrific]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.4035600423812866,0.9817759990692139,1,0,1,61,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[honorarium]] with your ex-wife . ",0.08542817831039429,0.9892670512199402,0,1,0,53,"Successful"
"a [[rewarding]] work of [[art]] for only the most patient and challenge-hungry moviegoers . ","a [[prix]] work of [[article]] for only the most patient and challenge-hungry moviegoers . ",0.0010543465614318848,0.9883115291595459,1,0,1,62,"Successful"
"a [[good]] piece of work more often than not . ","a [[guten]] piece of work more often than not . ",0.0010324716567993164,0.9902939796447754,1,0,1,53,"Successful"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[hallucinatory]] splash of pastel colors and prankish comedy from disney . ",0.11390143632888794,0.9994400143623352,1,0,1,46,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ",0.9080734252929688,0.9080734252929688,0,0,1,1,"Skipped"
"puts a human face on a land most [[westerners]] are unfamiliar with . ","puts a human face on a land most [[balkans]] are unfamiliar with . ",0.12472623586654663,0.9266793727874756,1,0,1,20,"Successful"
"montias ... pumps a lot of [[energy]] into his [[nicely]] nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ","montias ... pumps a lot of [[vigour]] into his [[coldly]] nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ",0.0038186311721801758,0.6987935304641724,1,0,1,74,"Successful"
"atom egoyan has [[conjured]] up a multilayered work that tackles any number of [[fascinating]] issues ","atom egoyan has [[resembled]] up a multilayered work that tackles any number of [[captivating]] issues ",0.0010974407196044922,0.6226866245269775,1,0,1,89,"Successful"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[inescapable]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",0.0010268688201904297,0.9812392592430115,1,0,1,58,"Successful"
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[much]] more when you leave . ","at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know [[immensely]] more when you leave . ",0.04685652256011963,0.9378458857536316,0,1,0,75,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[crap]] . ",0.11300891637802124,0.8598084449768066,0,1,0,60,"Successful"
"/ but daphne , you '[[re]] too buff / fred [[thinks]] he 's [[tough]] / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you '[[roe]] too buff / fred [[thought]] he 's [[intense]] / and velma - wow , you 've [[renounced]] weight ! ",0.001428365707397461,0.8686134815216064,0,1,0,140,"Successful"
"director andrew niccol ... [[demonstrates]] a wry understanding of the quirks of fame . ","director andrew niccol ... [[illustrating]] a wry understanding of the quirks of fame . ",0.11368435621261597,0.9979875087738037,1,0,1,62,"Successful"
"... takes the [[beauty]] of baseball and melds it with a story that could [[touch]] anyone regardless of their familiarity with the [[sport]] ","... takes the [[resplendent]] of baseball and melds it with a story that could [[tactile]] anyone regardless of their familiarity with the [[sporty]] ",0.0011662840843200684,0.6062272787094116,1,0,1,76,"Successful"
"there [[ought]] to be a directing license , so that ed burns can have his [[revoked]] . ","there [[anticipated]] to be a directing license , so that ed burns can have his [[annulment]] . ",0.0014128684997558594,0.850333034992218,0,1,0,93,"Successful"
"there is no [[pleasure]] in watching a child suffer . ","there is no [[rapture]] in watching a child suffer . ",0.0014440417289733887,0.5177634954452515,0,1,0,56,"Successful"
"at a time when half the so-called real movies are little more than live-action cartoons , it 's [[refreshing]] to see a cartoon that knows what it is , and knows the form 's [[history]] . ","at a time when half the so-called real movies are little more than live-action cartoons , it 's [[retrofit]] to see a cartoon that knows what it is , and knows the form 's [[historic]] . ",0.001077115535736084,0.8724812865257263,1,0,1,82,"Successful"
"there are [[simply]] too [[many]] [[ideas]] [[floating]] around -- [[part]] [[farce]] , [[part]] [[sliding]] doors , [[part]] pop [[video]] -- and yet [[failing]] to [[exploit]] them . ","there are [[only]] too [[countless]] [[knew]] [[hovering]] around -- [[share]] [[hilarity]] , [[element]] [[blades]] doors , [[chapter]] pop [[videos]] -- and yet [[malfunction]] to [[utilizing]] them . ",0.001415848731994629,0.616378903388977,0,1,0,424,"Successful"
"( a ) [[shapeless]] blob of desperate [[entertainment]] . ","( a ) [[wispy]] blob of desperate [[delights]] . ",0.0014033913612365723,0.9931508898735046,0,1,0,56,"Successful"
"( grant 's ) bumbling magic takes over the film , and it turns out to be another [[winning]] star vehicle . ","( grant 's ) bumbling magic takes over the film , and it turns out to be another [[victoire]] star vehicle . ",0.12394654750823975,0.9993534684181213,1,0,1,45,"Successful"
"for the most part [[stevens]] [[glides]] through on some [[solid]] performances and witty dialogue . ","for the most part [[buckley]] [[glided]] through on some [[stabilised]] performances and witty dialogue . ",0.0010088086128234863,0.9993955492973328,1,0,1,91,"Successful"
"as vulgar as it is [[banal]] . ","as vulgar as it is [[everyday]] . ",0.0014064908027648926,0.8821005821228027,0,1,0,47,"Successful"
"if you can stomach the rough content , it 's worth [[checking]] out for the performances alone . ","if you can stomach the rough content , it 's worth [[checked]] out for the performances alone . ",0.029713749885559082,0.9878880381584167,1,0,1,49,"Successful"
"[[uses]] [[high]] comedy to evoke [[surprising]] poignance . ","[[consumes]] [[biggest]] comedy to evoke [[unbelievable]] poignance . ",0.0010176301002502441,0.999458372592926,1,0,1,83,"Successful"
"director of photography benoit delhomme shot the movie in [[delicious]] colors , and the costumes and sets are grand . ","director of photography benoit delhomme shot the movie in [[scrumptious]] colors , and the costumes and sets are grand . ",0.0010350942611694336,0.9960457682609558,1,0,1,56,"Successful"
"a quiet , [[pure]] , elliptical film ","a quiet , [[plain]] , elliptical film ",0.0010009407997131348,0.9808650016784668,1,0,1,9,"Successful"
"a [[dumb]] movie with [[dumb]] characters doing dumb things and you [[have]] to [[be]] [[really]] dumb not to [[see]] where this is [[going]] . ","a [[silent]] movie with [[punchy]] characters doing dumb things and you [[possesses]] to [[viens]] [[heartily]] dumb not to [[embrace]] where this is [[departing]] . ",0.0014086365699768066,0.9649558067321777,0,1,0,278,"Successful"
"if you believe any of this , i can make you a real deal on [[leftover]] enron [[stock]] that will double in value a week from friday . ","if you believe any of this , i can make you a real deal on [[ashes]] enron [[reserves]] that will double in value a week from friday . ",0.0020443201065063477,0.5928489565849304,0,1,0,81,"Successful"
"i '[[m]] just too [[bored]] to [[care]] . ","i '[[millions]] just too [[annoying]] to [[zorg]] . ",0.0014082789421081543,0.001415848731994629,0,0,0,46,"Failed"
"not since tom cruise in risky business has an actor made such a [[strong]] impression in his underwear . ","not since tom cruise in risky business has an actor made such a [[forte]] impression in his underwear . ",0.007734477519989014,0.9512059688568115,1,0,1,66,"Successful"
"made with no discernible craft and monstrously [[sanctimonious]] in dealing with childhood [[loss]] . ","made with no discernible craft and monstrously [[judgmental]] in dealing with childhood [[depleted]] . ",0.001596987247467041,0.7229210138320923,0,1,0,75,"Successful"
"a [[giggle]] a [[minute]] . ","a [[fooling]] a [[seconds]] . ",0.03052234649658203,0.9994719624519348,1,0,1,62,"Successful"
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a [[deal]] . ","i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a [[contend]] . ",0.02032637596130371,0.6828384399414062,0,1,0,62,"Successful"
"[[exquisitely]] nuanced in mood tics and dialogue , this chamber [[drama]] is superbly acted by the deeply [[appealing]] veteran bouquet and the chilling but [[quite]] human berling . ","[[wickedly]] nuanced in mood tics and dialogue , this chamber [[amphitheatre]] is superbly acted by the deeply [[vocation]] veteran bouquet and the chilling but [[too]] human berling . ",0.0009979605674743652,0.9959881901741028,1,0,1,166,"Successful"
"[[movie]] fans , get ready to take off ... the other direction . ","[[photographed]] fans , get ready to take off ... the other direction . ",0.006097555160522461,0.9499921202659607,0,1,0,53,"Successful"
"the [[cold]] turkey would 've been a [[far]] [[better]] [[title]] . ","the [[refrigerated]] turkey would 've been a [[immensely]] [[preferably]] [[appointing]] . ",0.0014145374298095703,0.834358811378479,0,1,0,88,"Successful"
"the lower your expectations , the more you 'll enjoy it . ","the lower your expectations , the more you 'll enjoy it . ",0.9921916723251343,0.9921916723251343,1,1,0,1,"Skipped"
"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . ","generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . ",0.991340160369873,0.991340160369873,0,0,1,1,"Skipped"
"from the opening scenes , it 's clear that all about the benjamins is a [[totally]] formulaic movie . ","from the opening scenes , it 's clear that all about the benjamins is a [[perfectly]] formulaic movie . ",0.0017144083976745605,0.9876455664634705,0,1,0,55,"Successful"
"for all its impressive craftsmanship , and despite an [[overbearing]] [[series]] of third-act [[crescendos]] , lily chou-chou never really [[builds]] up a head of emotional steam . ","for all its impressive craftsmanship , and despite an [[patronizing]] [[array]] of third-act [[tinkling]] , lily chou-chou never really [[built]] up a head of emotional steam . ",0.006544649600982666,0.6696516275405884,0,1,0,96,"Successful"
"first-time writer-director serry shows a [[remarkable]] gift for storytelling with this moving , [[effective]] little film . ","first-time writer-director serry shows a [[unpaid]] gift for storytelling with this moving , [[usefulness]] little film . ",0.0010004639625549316,0.561667799949646,1,0,1,80,"Successful"
