"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most [[irrevocably]] monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.0010308027267456055,0.9990010261535645,0,1,0,39,"Successful"
"as a [[rumor]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[efforts]] can redeem it from hopeless sentimentality . ","as a [[abuzz]] of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest [[strives]] can redeem it from hopeless sentimentality . ",0.0013249516487121582,0.8649958372116089,0,1,0,83,"Successful"
"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance [[parle]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0008171200752258301,0.888619065284729,1,0,1,75,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[baffled]] when it came time to get to the heart of the movie . ",0.1401282548904419,0.773072361946106,0,1,0,59,"Successful"
"anchored by friel and williams 's exceptional performances , the [[film]] 's power [[lies]] in its [[complexity]] . ","anchored by friel and williams 's exceptional performances , the [[footage]] 's power [[dishonesty]] in its [[complicate]] . ",0.0007852315902709961,0.9406108856201172,1,0,1,79,"Successful"
"a [[woman]] 's pic directed with [[resonance]] by [[ilya]] chaiken . ","a [[missus]] 's pic directed with [[harmonics]] by [[ilyas]] chaiken . ",0.0008725523948669434,0.9887723326683044,1,0,1,50,"Successful"
"the best film about [[baseball]] to hit theaters [[since]] field of dreams . ","the best film about [[slug]] to hit theaters [[unless]] field of dreams . ",0.0008063912391662598,0.9818724989891052,1,0,1,41,"Successful"
"too [[restrained]] to be a freak show , too mercenary and [[obvious]] to be cerebral , too [[dull]] and [[pretentious]] to [[be]] engaging ... the isle [[defies]] an easy categorization . ","too [[restrains]] to be a freak show , too mercenary and [[unmistakable]] to be cerebral , too [[ghoulish]] and [[grandiose]] to [[worden]] engaging ... the isle [[challenges]] an easy categorization . ",0.0013451576232910156,0.5096187591552734,0,1,0,215,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[asinine]] , but more importantly , it 's just not [[dreaded]] . ",0.0009781122207641602,0.9970616102218628,0,1,0,56,"Successful"
"schaeffer has to [[find]] some hook on which to hang his persistently [[useless]] movies , and it might as well [[be]] the [[resuscitation]] of the middle-aged character . ","schaeffer has to [[discovering]] some hook on which to hang his persistently [[inane]] movies , and it might as well [[viens]] the [[reviving]] of the middle-aged character . ",0.0009773969650268555,0.7174826860427856,0,1,0,149,"Successful"
"[[aside]] from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ","[[additionally]] from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",0.03590214252471924,0.5481804609298706,1,0,1,28,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[mercifully]] literary . ",0.0008150935173034668,0.8435803055763245,1,0,1,58,"Successful"
"so unassuming and [[pure]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ","so unassuming and [[pur]] of heart , you ca n't help but warmly extend your arms and yell ` safe ! ' ",0.05203324556350708,0.5422766208648682,1,0,1,27,"Successful"
"an [[entertaining]] , colorful , action-filled [[crime]] [[story]] with an [[intimate]] [[heart]] . ","an [[fooling]] , colorful , action-filled [[misdeed]] [[storeys]] with an [[squeamish]] [[quid]] . ",0.0008180737495422363,0.9150996208190918,1,0,1,147,"Successful"
"due to some [[script]] [[weaknesses]] and the [[casting]] of the [[director]] 's [[brother]] , the film trails off into inconsequentiality . ","due to some [[commands]] [[frailties]] and the [[foundry]] of the [[filmmaker]] 's [[bro]] , the film trails off into inconsequentiality . ",0.0011138319969177246,0.5226808786392212,0,1,0,127,"Successful"
"works [[hard]] to establish rounded [[characters]] , but then [[has]] nothing [[fresh]] or particularly interesting to say about them . ","works [[intensely]] to establish rounded [[quirks]] , but then [[enjoy]] nothing [[soft]] or particularly interesting to say about them . ",0.0010979175567626953,0.6243315935134888,0,1,0,69,"Successful"
"one of the most [[significant]] moviegoing pleasures of the year . ","one of the most [[prodigious]] moviegoing pleasures of the year . ",0.0008088946342468262,0.9692487716674805,1,0,1,58,"Successful"
"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ","the son 's room is a [[triomphe]] of gentility that [[getting]] its moments of pathos . ",0.0007840394973754883,0.8618664145469666,1,0,1,85,"Successful"
"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[do]] up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",0.00818568468093872,0.6451598405838013,1,0,1,78,"Successful"
"one of those [[energetic]] [[surprises]] , an [[original]] that pleases almost everyone who [[sees]] it . ","one of those [[vigour]] [[horrified]] , an [[preliminary]] that pleases almost everyone who [[contemplates]] it . ",0.0008044838905334473,0.7965083122253418,1,0,1,156,"Successful"
"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and [[lets]] you look at this and its like you 're [[going]] from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but [[shiny]] and the camera just kind of sits there and [[authorizing]] you look at this and its like you 're [[exited]] from one room to the next and none of them have any relation to the other . ",0.001332998275756836,0.7440468072891235,1,0,1,109,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[royalty]] with your ex-wife . ",0.07087892293930054,0.9996581077575684,0,1,0,53,"Successful"
"a [[rewarding]] [[work]] of [[art]] for only the most patient and challenge-hungry [[moviegoers]] . ","a [[fecund]] [[labor]] of [[article]] for only the most patient and challenge-hungry [[spectator]] . ",0.0008097290992736816,0.9997073411941528,1,0,1,126,"Successful"
"a [[good]] piece of [[work]] more often than not . ","a [[buena]] piece of [[labor]] more often than not . ",0.0008001923561096191,0.9996950626373291,1,0,1,101,"Successful"
"a [[beguiling]] [[splash]] of pastel colors and prankish comedy from disney . ","a [[plaintive]] [[splattered]] of pastel colors and prankish comedy from disney . ",0.0007954239845275879,0.9997534155845642,1,0,1,57,"Successful"
"it 's one heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's one heck of a character study -- not of hearst or davies but of the [[single]] relationship between them . ",0.0018905401229858398,0.9601218700408936,1,0,1,57,"Successful"
"puts a [[human]] [[face]] on a land most westerners are unfamiliar with . ","puts a [[humans]] [[fights]] on a land most westerners are unfamiliar with . ",0.0009264945983886719,0.9968109726905823,1,0,1,62,"Successful"
"montias ... pumps a [[lot]] of energy into his [[nicely]] [[nuanced]] narrative and [[surrounds]] himself with a cast of [[quirky]] -- but not stereotyped -- [[street]] [[characters]] . ","montias ... pumps a [[alot]] of energy into his [[loosely]] [[astute]] narrative and [[vicinity]] himself with a cast of [[bonkers]] -- but not stereotyped -- [[calle]] [[digits]] . ",0.0008133053779602051,0.997127890586853,1,0,1,231,"Successful"
"[[atom]] egoyan [[has]] [[conjured]] up a multilayered [[work]] that [[tackles]] any [[number]] of [[fascinating]] [[issues]] ","[[ions]] egoyan [[ap]] [[nightmarish]] up a multilayered [[artworks]] that [[covers]] any [[serials]] of [[breathtaking]] [[challenges]] ",0.0007964968681335449,0.0008606910705566406,1,1,1,263,"Failed"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[unassailable]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",0.0008161664009094238,0.9856504797935486,1,0,1,58,"Successful"
"at the very least , if you do n't [[know]] anything about [[derrida]] when you walk into the [[theater]] , you wo n't [[know]] [[much]] more when you leave . ","at the very least , if you do n't [[recognising]] anything about [[existentialist]] when you walk into the [[film]] , you wo n't [[listen]] [[deeply]] more when you leave . ",0.0015565752983093262,0.7546147108078003,0,1,0,209,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[codswallop]] . ",0.03104454278945923,0.5142816305160522,0,1,0,60,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[lost]] [[weight]] ! ","/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've [[mistook]] [[brunt]] ! ",0.003381490707397461,0.5531742572784424,0,1,0,62,"Successful"
"[[director]] andrew niccol ... [[demonstrates]] a wry understanding of the quirks of fame . ","[[dumbledore]] andrew niccol ... [[prove]] a wry understanding of the quirks of fame . ",0.0008537769317626953,0.9891822934150696,1,0,1,104,"Successful"
"... takes the [[beauty]] of baseball and melds it with a story that could [[touch]] anyone regardless of their familiarity with the sport ","... takes the [[cutie]] of baseball and melds it with a story that could [[tactile]] anyone regardless of their familiarity with the sport ",0.0007810592651367188,0.8149581551551819,1,0,1,68,"Successful"
"there [[ought]] to be a directing license , so that ed burns can have his [[revoked]] . ","there [[hoped]] to be a directing license , so that ed burns can have his [[revoking]] . ",0.0012035369873046875,0.612225353717804,0,1,0,93,"Successful"
"there is no [[pleasure]] in watching a child suffer . ","there is no [[place]] in watching a child suffer . ",0.0024846792221069336,0.9760458469390869,0,1,0,56,"Successful"
"at a [[time]] when half the so-called [[real]] [[movies]] are [[little]] more than live-action cartoons , it 's refreshing to [[see]] a cartoon that knows what it is , and knows the form 's [[history]] . ","at a [[zeit]] when half the so-called [[truths]] [[video]] are [[meager]] more than live-action cartoons , it 's refreshing to [[stare]] a cartoon that knows what it is , and knows the form 's [[bygone]] . ",0.0007918477058410645,0.7390013933181763,1,0,1,219,"Successful"
"there are simply too [[many]] ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[failing]] to exploit them . ","there are simply too [[plenty]] ideas floating around -- part farce , part sliding doors , part pop video -- and yet [[frailty]] to exploit them . ",0.0009783506393432617,0.5029945373535156,0,1,0,115,"Successful"
"( a ) shapeless blob of [[desperate]] [[entertainment]] . ","( a ) shapeless blob of [[frenetic]] [[delight]] . ",0.0009596943855285645,0.6815804243087769,0,1,0,75,"Successful"
"( grant 's ) bumbling [[magic]] takes over the film , and it turns out to be another [[winning]] star vehicle . ","( grant 's ) bumbling [[miraculous]] takes over the film , and it turns out to be another [[defeating]] star vehicle . ",0.000767827033996582,0.998897910118103,1,0,1,50,"Successful"
"for the most [[part]] [[stevens]] glides through on some [[solid]] [[performances]] and [[witty]] [[dialogue]] . ","for the most [[servings]] [[mcbride]] glides through on some [[stabilised]] [[spectacle]] and [[philosophic]] [[debates]] . ",0.0007954239845275879,0.9983707666397095,1,0,1,180,"Successful"
"as vulgar as it is [[banal]] . ","as vulgar as it is [[everyday]] . ",0.0009690523147583008,0.6265081167221069,0,1,0,47,"Successful"
"if you can stomach the rough content , it 's [[worth]] checking out for the performances alone . ","if you can stomach the rough content , it 's [[pena]] checking out for the performances alone . ",0.0007808208465576172,0.7757651209831238,1,0,1,32,"Successful"
"[[uses]] high comedy to evoke [[surprising]] poignance . ","[[exploited]] high comedy to evoke [[staggering]] poignance . ",0.0007976889610290527,0.998623788356781,1,0,1,60,"Successful"
"director of [[photography]] [[benoit]] delhomme shot the movie in [[delicious]] colors , and the [[costumes]] and [[sets]] are grand . ","director of [[filming]] [[francoise]] delhomme shot the movie in [[scrumptious]] colors , and the [[outfits]] and [[stipulate]] are grand . ",0.0008034110069274902,0.9955607652664185,1,0,1,165,"Successful"
"a quiet , [[pure]] , elliptical [[film]] ","a quiet , [[plain]] , elliptical [[stills]] ",0.00083160400390625,0.9984585046768188,1,0,1,56,"Successful"
"a dumb movie with dumb characters doing [[dumb]] things and you [[have]] to [[be]] [[really]] dumb not to [[see]] where this is going . ","a dumb movie with dumb characters doing [[goofball]] things and you [[enjoy]] to [[es]] [[perfectly]] dumb not to [[glance]] where this is going . ",0.0009968876838684082,0.5376664996147156,0,1,0,212,"Successful"
"if you believe any of this , i can make you a real deal on leftover enron [[stock]] that will double in value a week from friday . ","if you believe any of this , i can make you a real deal on leftover enron [[stocks]] that will double in value a week from friday . ",0.19421136379241943,0.7876265645027161,0,1,0,42,"Successful"
"i '[[m]] just too [[bored]] to [[care]] . ","i '[[foot]] just too [[piercing]] to [[loving]] . ",0.0009923577308654785,0.4159051179885864,0,0,0,46,"Failed"
"not since tom cruise in risky business has an actor made such a [[strong]] impression in his underwear . ","not since tom cruise in risky business has an actor made such a [[severe]] impression in his underwear . ",0.011540055274963379,0.9981327652931213,1,0,1,66,"Successful"
"[[made]] with no [[discernible]] [[craft]] and monstrously [[sanctimonious]] in dealing with childhood [[loss]] . ","[[fulfilled]] with no [[palpable]] [[starship]] and monstrously [[pious]] in dealing with childhood [[depleted]] . ",0.0009694099426269531,0.9793676137924194,0,1,0,214,"Successful"
"a [[giggle]] a minute . ","a [[fooling]] a minute . ",0.000877678394317627,0.9998376369476318,1,0,1,51,"Successful"
"i 've always dreamed of [[attending]] cannes , but after seeing this [[film]] , it 's not that big a [[deal]] . ","i 've always dreamed of [[engages]] cannes , but after seeing this [[cameraman]] , it 's not that big a [[resolving]] . ",0.014545559883117676,0.5203163623809814,0,1,0,125,"Successful"
