"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the [[gimmick]] of being [[filmed]] as a single [[unbroken]] [[87-minute]] [[take]] . ","the most [[hopelesly]] [[montonous]] film of the year , noteworthy only for the [[gimmiYk]] of being [[ilmed]] as a single [[ubroken]] [[78-minute]] [[tae]] . ",0.0024715065956115723,0.36409974098205566,0,0,0,66,"Failed"
"as a [[rumor]] of [[angels]] reveals itself to be a [[sudsy]] tub of [[supernatural]] hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","as a [[rumoOr]] of [[angles]] reveals itself to be a [[susdy]] tub of [[sSupernatural]] hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0.0028120875358581543,0.5246663689613342,0,1,0,61,"Successful"
"bennett 's naturalistic performance speaks volumes more [[truth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","bennett 's naturalistic performance speaks volumes more [[kruth]] than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.002387523651123047,0.6715761423110962,1,0,1,31,"Successful"
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ","by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0.8501540422439575,0.8501540422439575,1,1,0,1,"Skipped"
"anchored by [[friel]] and [[williams]] 's [[exceptional]] performances , the film 's [[power]] lies in its [[complexity]] . ","anchored by [[frieml]] and [[wuilliams]] 's [[exceptioanl]] performances , the film 's [[ower]] lies in its [[ocmplexity]] . ",0.0014426112174987793,0.7567020654678345,1,0,1,41,"Successful"
"a woman 's pic [[directed]] with [[resonance]] by ilya chaiken . ","a woman 's pic [[direDcted]] with [[resonaice]] by ilya chaiken . ",0.0014839768409729004,0.9988858699798584,1,0,1,19,"Successful"
"the [[best]] film about baseball to hit [[theaters]] [[since]] field of [[dreams]] . ","the [[bvst]] film about baseball to hit [[thoaters]] [[sirnce]] field of [[dreasm]] . ",0.0014333128929138184,0.7919948101043701,1,0,1,29,"Successful"
"too restrained to be a freak show , too [[mercenary]] and [[obvious]] to be [[cerebral]] , too [[dull]] and [[pretentious]] to be engaging ... the isle [[defies]] an easy [[categorization]] . ","too restrained to be a freak show , too [[merceUnary]] and [[obviosu]] to be [[cerebrla]] , too [[Edull]] and [[pertentious]] to be engaging ... the isle [[efies]] an easy [[categorzation]] . ",0.0022712349891662598,0.6363725662231445,0,1,0,76,"Successful"
"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ","it 's [[dmub]] , but more importantly , it 's just not [[scwary]] . ",0.0023173093795776367,0.022895514965057373,0,0,0,24,"Failed"
"[[schaeffer]] has to find some hook on which to hang his [[persistently]] [[useless]] movies , and it [[might]] as well be the resuscitation of the middle-aged character . ","[[scaheffer]] has to find some hook on which to hang his [[persisteuntly]] [[usleess]] movies , and it [[imght]] as well be the resuscitation of the middle-aged character . ",0.0022968649864196777,0.6346904039382935,0,1,0,43,"Successful"
"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ","aside from minor tinkering , this is the same movie you probably [[loted]] in 1994 , except that it looks even better . ",0.33331406116485596,0.9367339015007019,1,0,1,25,"Successful"
"very psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ","very psychoanalytical -- provocatively so -- and also [[refresThingly]] literary . ",0.0014717578887939453,0.99888676404953,1,0,1,13,"Successful"
"so unassuming and pure of [[heart]] , you ca n't help but warmly extend your arms and yell ` [[safe]] ! ' ","so unassuming and pure of [[haert]] , you ca n't help but warmly extend your arms and yell ` [[saWe]] ! ' ",0.03968936204910278,0.6602071523666382,1,0,1,28,"Successful"
"an [[entertaining]] , [[colorful]] , [[action-filled]] [[crime]] [[story]] with an [[intimate]] [[heart]] . ","an [[entertqining]] , [[colXrful]] , [[actio-nfilled]] [[cIrime]] [[stoqy]] with an [[intivmate]] [[helrt]] . ",0.0014127492904663086,0.9986668825149536,1,0,1,39,"Successful"
"[[due]] to some script [[weaknesses]] and the casting of the [[director]] 's brother , the film [[trails]] off into [[inconsequentiality]] . ","[[Xue]] to some script [[weaknessFes]] and the casting of the [[dirctor]] 's brother , the film [[tails]] off into [[inconsequetniality]] . ",0.002344965934753418,0.32565850019454956,0,0,0,55,"Failed"
"works [[hard]] to establish rounded characters , but then has [[nothing]] fresh or [[particularly]] interesting to say about them . ","works [[hand]] to establish rounded characters , but then has [[nolhing]] fresh or [[particularmly]] interesting to say about them . ",0.002328932285308838,0.9426344037055969,0,1,0,35,"Successful"
"one of the most [[significant]] [[moviegoing]] [[pleasures]] of the year . ","one of the most [[xsignificant]] [[movKegoing]] [[lpeasures]] of the year . ",0.0014001727104187012,0.8102484345436096,1,0,1,22,"Successful"
"the [[son]] 's room is a [[triumph]] of gentility that [[earns]] its moments of [[pathos]] . ","the [[sno]] 's room is a [[tIriumph]] of gentility that [[Narns]] its moments of [[pRathos]] . ",0.0014945268630981445,0.670871913433075,1,0,1,32,"Successful"
"what the film lacks in general focus it [[makes]] up for in [[compassion]] , as corcuera manages to find the seeds of hope in the form of collective action . ","what the film lacks in general focus it [[makem]] up for in [[copmassion]] , as corcuera manages to find the seeds of hope in the form of collective action . ",0.0016181468963623047,0.5848697423934937,1,0,1,37,"Successful"
"[[one]] of those [[energetic]] [[surprises]] , an original that [[pleases]] [[almost]] everyone who sees it . ","[[noe]] of those [[energetci]] [[surprKises]] , an original that [[tleases]] [[almsot]] everyone who sees it . ",0.0014537572860717773,0.957608699798584,1,0,1,35,"Successful"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[lets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","this is wild surreal stuff , but brilliant and the camera just kind of sits there and [[ulets]] you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.07704323530197144,0.855905294418335,1,0,1,48,"Successful"
"or doing last [[year]] 's [[taxes]] with your ex-wife . ","or doing last [[yaer]] 's [[atxes]] with your ex-wife . ",0.002423584461212158,0.9057842493057251,0,1,0,18,"Successful"
"a [[rewarding]] [[work]] of art for only the most [[patient]] and challenge-hungry [[moviegoers]] . ","a [[rGwarding]] [[wPrk]] of art for only the most [[ptaient]] and challenge-hungry [[movieogoers]] . ",0.001662135124206543,0.973385751247406,1,0,1,34,"Successful"
"a [[good]] piece of work more [[often]] than not . ","a [[goo]] piece of work more [[otfen]] than not . ",0.00156480073928833,0.9975887537002563,1,0,1,18,"Successful"
"a [[beguiling]] splash of pastel colors and prankish comedy from disney . ","a [[byeguiling]] splash of pastel colors and prankish comedy from disney . ",0.0016734004020690918,0.615294873714447,1,0,1,16,"Successful"
"it 's [[one]] heck of a character study -- not of hearst or davies but of the [[unique]] relationship between them . ","it 's [[Qone]] heck of a character study -- not of hearst or davies but of the [[uniquUe]] relationship between them . ",0.0015411376953125,0.8954588770866394,1,0,1,29,"Successful"
"[[puts]] a [[human]] face on a land most westerners are unfamiliar with . ","[[ptuts]] a [[huan]] face on a land most westerners are unfamiliar with . ",0.0014910101890563965,0.9652969241142273,1,0,1,21,"Successful"
"[[montias]] ... [[pumps]] a lot of [[energy]] into his [[nicely]] nuanced [[narrative]] and surrounds himself with a cast of [[quirky]] -- but not [[stereotyped]] -- street characters . ","[[motias]] ... [[puops]] a lot of [[eenrgy]] into his [[nYicely]] nuanced [[narrtaive]] and surrounds himself with a cast of [[quirkA]] -- but not [[ssereotyped]] -- street characters . ",0.0015811920166015625,0.6184359788894653,1,0,1,53,"Successful"
"atom [[egoyan]] has [[conjured]] up a [[multilayered]] work that [[tackles]] any number of [[fascinating]] issues ","atom [[egoyna]] has [[conjupred]] up a [[multilalyered]] work that [[tackltes]] any number of [[fasciqnating]] issues ",0.001428842544555664,0.84100741147995,1,0,1,36,"Successful"
"a [[compelling]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ","a [[compellig]] spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ",0.001673877239227295,0.9390288591384888,1,0,1,31,"Successful"
"at the very least , if you do n't [[know]] [[anything]] about derrida when you walk into the theater , you wo n't know much more when you leave . ","at the very least , if you do n't [[kno]] [[anythhng]] about derrida when you walk into the theater , you wo n't know much more when you leave . ",0.03872770071029663,0.7951643466949463,0,1,0,36,"Successful"
"do n't be fooled by the impressive cast list - eye see you is pure [[junk]] . ","do n't be fooled by the impressive cast list - eye see you is pure [[junz]] . ",0.0042931437492370605,0.9993734955787659,0,1,0,20,"Successful"
"/ but daphne , you 're too buff / fred thinks he 's [[tough]] / and velma - wow , you 've [[lost]] weight ! ","/ but daphne , you 're too buff / fred thinks he 's [[toWugh]] / and velma - wow , you 've [[aost]] weight ! ",0.0030364394187927246,0.6309412717819214,0,1,0,27,"Successful"
"director andrew niccol ... demonstrates a [[wry]] [[understanding]] of the quirks of fame . ","director andrew niccol ... demonstrates a [[Swry]] [[underEtanding]] of the quirks of fame . ",0.0014777779579162598,0.998878538608551,1,0,1,21,"Successful"
"... takes the [[beauty]] of baseball and melds it with a story that could [[touch]] anyone regardless of their familiarity with the sport ","... takes the [[beuty]] of baseball and melds it with a story that could [[tuoch]] anyone regardless of their familiarity with the sport ",0.0015740394592285156,0.6380671858787537,1,0,1,31,"Successful"
"there ought to be a directing [[license]] , so that ed burns can have his [[revoked]] . ","there ought to be a directing [[licese]] , so that ed burns can have his [[revoed]] . ",0.002337813377380371,0.6385003328323364,0,1,0,24,"Successful"
"there is no [[pleasure]] in watching a child [[suffer]] . ","there is no [[plaeasure]] in watching a child [[ruffer]] . ",0.3476306200027466,0.9803481101989746,0,1,0,25,"Successful"
